time,OMEGA_REF_omegaRef_grp_0_value
0,1
0.005,1
0.005,1
0.01,1
0.015,1
0.02,1
0.02,1
0.025,1.000001
0.025,1.000001
0.03,1.000001
0.03,1.000001
0.035,1.000001
0.035,1.000001
0.04,1.000001
0.045,1.000001
0.045,1.000001
0.05,1.000001
0.05,1.000001
0.055,1.000001
0.06,1.000001
0.065,1.000001
0.065,1.000001
0.07,1.000002
0.07,1.000002
0.075,1.000002
0.08,1.000002
0.085,1.000002
0.085,1.000002
0.09,1.000002
0.095,1.000002
0.1,1.000002
0.105,1.000002
0.11,1.000003
0.115,1.000003
0.12,1.000003
0.125,1.000003
0.125,1.000003
0.13,1.000003
0.135,1.000003
0.135,1.000003
0.14,1.000003
0.14,1.000003
0.145,1.000003
0.15,1.000004
0.155,1.000004
0.16,1.000004
0.165,1.000004
0.17,1.000004
0.175,1.000004
0.175,1.000004
0.18,1.000004
0.185,1.000005
0.19,1.000005
0.195,1.000005
0.2,1.000005
0.205,1.000005
0.21,1.000005
0.215,1.000005
0.215,1.000005
0.22,1.000006
0.225,1.000006
0.23,1.000006
0.235,1.000006
0.24,1.000006
0.245,1.000006
0.25,1.000006
0.255,1.000007
0.255,1.000007
0.26,1.000007
0.265,1.000007
0.27,1.000007
0.275,1.000007
0.275,1.000007
0.28,1.000007
0.285,1.000008
0.29,1.000008
0.295,1.000008
0.3,1.000008
0.3,1.000008
0.305,1.000008
0.31,1.000008
0.315,1.000009
0.32,1.000009
0.32,1.000009
0.325,1.000009
0.325,1.000009
0.33,1.000009
0.33,1.000009
0.335,1.000009
0.34,1.000009
0.34,1.000009
0.345,1.00001
0.35,1.00001
0.35,1.00001
0.355,1.00001
0.355,1.00001
0.36,1.00001
0.36,1.00001
0.365,1.00001
0.37,1.000011
0.375,1.000011
0.38,1.000011
0.385,1.000011
0.385,1.000011
0.39,1.000011
0.395,1.000011
0.395,1.000011
0.4,1.000012
0.405,1.000012
0.41,1.000012
0.415,1.000012
0.42,1.000012
0.42,1.000012
0.425,1.000013
0.43,1.000013
0.435,1.000013
0.44,1.000013
0.44,1.000013
0.445,1.000013
0.45,1.000014
0.45,1.000014
0.455,1.000014
0.455,1.000014
0.46,1.000014
0.465,1.000014
0.47,1.000014
0.475,1.000015
0.48,1.000015
0.485,1.000015
0.49,1.000015
0.495,1.000015
0.5,1.000016
0.5,1.000016
0.505,1.000016
0.505,1.000016
0.51,1.000016
0.515,1.000016
0.52,1.000016
0.525,1.000016
0.53,1.000017
0.535,1.000017
0.54,1.000017
0.545,1.000017
0.55,1.000017
0.555,1.000018
0.56,1.000018
0.565,1.000018
0.57,1.000018
0.575,1.000018
0.58,1.000019
0.585,1.000019
0.59,1.000019
0.59,1.000019
0.595,1.000019
0.6,1.000019
0.605,1.00002
0.61,1.00002
0.615,1.00002
0.62,1.00002
0.625,1.00002
0.63,1.000021
0.635,1.000021
0.64,1.000021
0.645,1.000021
0.65,1.000021
0.655,1.000021
0.66,1.000022
0.665,1.000022
0.67,1.000022
0.675,1.000022
0.68,1.000022
0.685,1.000023
0.69,1.000023
0.695,1.000023
0.7,1.000023
0.705,1.000023
0.71,1.000023
0.715,1.000024
0.72,1.000024
0.725,1.000024
0.73,1.000024
0.735,1.000024
0.74,1.000024
0.745,1.000025
0.75,1.000025
0.755,1.000025
0.76,1.000025
0.765,1.000025
0.77,1.000025
0.775,1.000026
0.78,1.000026
0.785,1.000026
0.79,1.000026
0.795,1.000026
0.8,1.000026
0.805,1.000026
0.81,1.000027
0.815,1.000027
0.82,1.000027
0.825,1.000027
0.83,1.000027
0.835,1.000027
0.84,1.000028
0.845,1.000028
0.85,1.000028
0.855,1.000028
0.86,1.000028
0.865,1.000028
0.87,1.000028
0.875,1.000029
0.88,1.000029
0.885,1.000029
0.89,1.000029
0.895,1.000029
0.9,1.000029
0.905,1.000029
0.91,1.00003
0.915,1.00003
0.92,1.00003
0.925,1.00003
0.93,1.00003
0.935,1.00003
0.94,1.00003
0.945,1.00003
0.95,1.000031
0.955,1.000031
0.96,1.000031
0.965,1.000031
0.97,1.000031
0.975,1.000031
0.98,1.000031
0.985,1.000032
0.99,1.000032
0.995,1.000032
1,1.000032
1.005,1.000032
1.01,1.000032
1.015,1.000032
1.02,1.000032
1.025,1.000033
1.03,1.000033
1.035,1.000033
1.04,1.000033
1.045,1.000033
1.05,1.000033
1.055,1.000033
1.06,1.000033
1.065,1.000034
1.07,1.000034
1.075,1.000034
1.08,1.000034
1.085,1.000034
1.09,1.000034
1.095,1.000034
1.1,1.000034
1.105,1.000035
1.11,1.000035
1.115,1.000035
1.12,1.000035
1.125,1.000035
1.13,1.000035
1.135,1.000035
1.14,1.000035
1.145,1.000036
1.15,1.000036
1.155,1.000036
1.16,1.000036
1.165,1.000036
1.17,1.000036
1.175,1.000036
1.18,1.000037
1.185,1.000037
1.19,1.000037
1.195,1.000037
1.2,1.000037
1.205,1.000037
1.21,1.000037
1.215,1.000037
1.22,1.000038
1.225,1.000038
1.23,1.000038
1.235,1.000038
1.24,1.000038
1.245,1.000038
1.25,1.000038
1.255,1.000039
1.26,1.000039
1.265,1.000039
1.27,1.000039
1.275,1.000039
1.28,1.000039
1.285,1.000039
1.29,1.00004
1.295,1.00004
1.3,1.00004
1.305,1.00004
1.31,1.00004
1.315,1.00004
1.32,1.00004
1.325,1.000041
1.33,1.000041
1.335,1.000041
1.34,1.000041
1.345,1.000041
1.35,1.000041
1.355,1.000041
1.36,1.000042
1.365,1.000042
1.37,1.000042
1.375,1.000042
1.38,1.000042
1.385,1.000042
1.39,1.000042
1.395,1.000042
1.4,1.000043
