time	V1
0	0.9854
0.005	0.9853
0.005	0.9853
0.01	0.9853
0.015	0.9853
0.02	0.9853
0.025	0.9853
0.03	0.9853
0.035	0.9853
0.04	0.9853
0.045	0.9853
0.05	0.9853
0.055	0.9853
0.06	0.9853
0.065	0.9853
0.07	0.9853
0.075	0.9853
0.08	0.9853
0.085	0.9853
0.085	0.9853
0.09	0.9853
0.095	0.9853
0.1	0.9853
0.105	0.9853
0.11	0.9853
0.115	0.9853
0.12	0.9853
0.125	0.9853
0.13	0.9853
0.135	0.9853
0.14	0.9853
0.145	0.9853
0.15	0.9854
0.155	0.9854
0.16	0.9854
0.165	0.9854
0.17	0.9854
0.175	0.9854
0.18	0.9854
0.185	0.9854
0.19	0.9854
0.195	0.9854
0.2	0.9854
0.205	0.9854
0.21	0.9854
0.215	0.9854
0.22	0.9854
0.225	0.9854
0.23	0.9854
0.235	0.9854
0.24	0.9854
0.245	0.9854
0.25	0.9854
0.255	0.9854
0.26	0.9854
0.265	0.9854
0.27	0.9854
0.275	0.9854
0.28	0.9854
0.285	0.9854
0.29	0.9854
0.295	0.9854
0.3	0.9854
0.305	0.9854
0.31	0.9854
0.315	0.9854
0.32	0.9854
0.325	0.9854
0.33	0.9854
0.335	0.9854
0.34	0.9854
0.345	0.9854
0.35	0.9854
0.355	0.9854
0.36	0.9854
0.365	0.9854
0.37	0.9854
0.375	0.9854
0.38	0.9854
0.385	0.9854
0.39	0.9854
0.395	0.9854
0.4	0.9854
0.405	0.9854
0.41	0.9854
0.415	0.9854
0.42	0.9854
0.425	0.9854
0.43	0.9854
0.435	0.9854
0.44	0.9854
0.445	0.9854
0.45	0.9854
0.455	0.9854
0.46	0.9854
0.465	0.9854
0.47	0.9854
0.475	0.9854
0.48	0.9854
0.485	0.9854
0.49	0.9854
0.495	0.9854
0.5	0.9854
0.505	0.9854
0.51	0.9854
0.515	0.9854
0.52	0.9854
0.525	0.9854
0.53	0.9854
0.535	0.9854
0.54	0.9854
0.545	0.9854
0.55	0.9854
0.555	0.9854
0.56	0.9854
0.565	0.9854
0.57	0.9854
0.575	0.9854
0.58	0.9854
0.585	0.9854
0.59	0.9854
0.595	0.9854
0.6	0.9854
0.605	0.9854
0.61	0.9854
0.615	0.9854
0.62	0.9854
0.625	0.9854
0.63	0.9854
0.635	0.9854
0.64	0.9854
0.645	0.9854
0.65	0.9854
0.655	0.9854
0.66	0.9854
0.665	0.9854
0.67	0.9854
0.675	0.9854
0.68	0.9854
0.685	0.9854
0.69	0.9854
0.695	0.9854
0.7	0.9854
0.705	0.9854
0.71	0.9854
0.715	0.9854
0.72	0.9854
0.725	0.9854
0.73	0.9854
0.735	0.9854
0.74	0.9854
0.745	0.9854
0.75	0.9854
