time_95	V4_95	time_5	V4_5
0	1.002769	0	1.002771
0.005	1.002765	0.005	1.002772
0.005	1.002765	0.005	1.002772
0.01	1.002764	0.01	1.002773
0.01	1.002764	0.01	1.002773
0.015	1.002763	0.015	1.002773
0.015	1.002763	0.015	1.002773
0.02	1.002763	0.02	1.002773
0.025	1.002762	0.02	1.002773
0.03	1.002762	0.025	1.002773
0.035	1.002761	0.025	1.002773
0.04	1.002761	0.03	1.002773
0.045	1.00276	0.035	1.002773
0.05	1.00276	0.04	1.002773
0.055	1.002759	0.045	1.002773
0.06	1.002759	0.05	1.002773
0.065	1.002759	0.055	1.002773
0.07	1.002758	0.06	1.002773
0.075	1.002758	0.065	1.002773
0.08	1.002757	0.07	1.002773
0.085	1.002757	0.075	1.002773
0.09	1.002757	0.08	1.002773
0.095	1.002756	0.085	1.002773
0.1	1.002756	0.09	1.002773
0.105	1.002756	0.095	1.002773
0.11	1.002755	0.1	1.002773
0.115	1.002755	0.105	1.002773
0.12	1.002755	0.11	1.002773
0.125	1.002754	0.115	1.002773
0.13	1.002754	0.12	1.002773
0.135	1.002754	0.125	1.002773
0.14	1.002754	0.125	1.002773
0.145	1.002753	0.13	1.002773
0.15	1.002753	0.135	1.002773
0.155	1.002753	0.14	1.002773
0.16	1.002753	0.14	1.002773
0.165	1.002752	0.145	1.002773
0.17	1.002752	0.15	1.002773
0.175	1.002752	0.155	1.002773
0.18	1.002752	0.155	1.002773
0.185	1.002751	0.16	1.002773
0.19	1.002751	0.16	1.002773
0.195	1.002751	0.165	1.002773
0.2	1.002751	0.17	1.002773
0.205	1.00275	0.17	1.002773
0.21	1.00275	0.175	1.002773
0.215	1.00275	0.175	1.002773
0.22	1.00275	0.18	1.002773
0.225	1.00275	0.185	1.002774
0.23	1.00275	0.19	1.002774
0.235	1.002749	0.19	1.002774
0.24	1.002749	0.195	1.002774
0.245	1.002749	0.195	1.002774
0.25	1.002749	0.2	1.002774
0.255	1.002749	0.205	1.002774
0.26	1.002749	0.21	1.002774
0.265	1.002748	0.215	1.002774
0.27	1.002748	0.215	1.002774
0.275	1.002748	0.22	1.002774
0.28	1.002748	0.225	1.002774
0.285	1.002748	0.225	1.002774
0.29	1.002748	0.23	1.002774
0.295	1.002748	0.235	1.002774
0.295	1.002748	0.235	1.002774
0.3	1.002748	0.24	1.002774
0.305	1.002747	0.24	1.002774
0.31	1.002747	0.245	1.002774
0.315	1.002747	0.245	1.002774
0.315	1.002747	0.25	1.002774
0.32	1.002747	0.25	1.002774
0.325	1.002747	0.255	1.002774
0.33	1.002747	0.255	1.002774
0.335	1.002747	0.26	1.002774
0.34	1.002747	0.26	1.002774
0.345	1.002747	0.265	1.002774
0.35	1.002747	0.265	1.002774
0.355	1.002746	0.27	1.002774
0.36	1.002746	0.27	1.002774
0.365	1.002746	0.275	1.002774
0.37	1.002746	0.275	1.002774
0.375	1.002746	0.28	1.002774
0.38	1.002746	0.28	1.002774
0.385	1.002746	0.285	1.002774
0.39	1.002746	0.285	1.002774
0.395	1.002746	0.29	1.002775
0.4	1.002746	0.29	1.002775
0.405	1.002746	0.295	1.002775
0.41	1.002746	0.3	1.002775
0.415	1.002746	0.3	1.002775
0.42	1.002746	0.305	1.002775
0.425	1.002746	0.305	1.002775
0.43	1.002746	0.31	1.002775
0.435	1.002746	0.315	1.002775
0.44	1.002746	0.315	1.002775
0.445	1.002746	0.32	1.002775
0.45	1.002746	0.32	1.002775
0.455	1.002746	0.325	1.002775
0.455	1.002746	0.325	1.002775
0.46	1.002746	0.33	1.002775
0.465	1.002746	0.33	1.002775
0.47	1.002746	0.335	1.002775
0.475	1.002746	0.335	1.002775
0.48	1.002746	0.34	1.002775
0.485	1.002746	0.34	1.002775
0.49	1.002746	0.345	1.002775
0.49	1.002746	0.345	1.002775
0.495	1.002746	0.35	1.002775
0.5	1.002746	0.35	1.002775
0.505	1.002746	0.355	1.002775
0.51	1.002746	0.355	1.002775
0.51	1.002746	0.36	1.002775
0.515	1.002746	0.36	1.002775
0.52	1.002746	0.365	1.002775
0.525	1.002746	0.365	1.002775
0.53	1.002746	0.37	1.002775
0.53	1.002746	0.37	1.002775
0.535	1.002746	0.375	1.002775
0.535	1.002746	0.375	1.002775
0.54	1.002746	0.38	1.002775
0.54	1.002746	0.38	1.002775
0.545	1.002746	0.385	1.002775
0.55	1.002746	0.385	1.002775
0.555	1.002746	0.39	1.002776
0.56	1.002746	0.39	1.002776
0.565	1.002746	0.395	1.002776
0.565	1.002746	0.395	1.002776
0.57	1.002746	0.4	1.002776
0.575	1.002746	0.4	1.002776
0.575	1.002746	0.405	1.002776
0.58	1.002746	0.405	1.002776
0.58	1.002746	0.41	1.002776
0.585	1.002746	0.41	1.002776
0.59	1.002746	0.415	1.002776
0.59	1.002746	0.415	1.002776
0.595	1.002746	0.42	1.002776
0.6	1.002746	0.42	1.002776
0.605	1.002746	0.425	1.002776
0.605	1.002746	0.425	1.002776
0.61	1.002747	0.43	1.002776
0.615	1.002747	0.43	1.002776
0.62	1.002747	0.435	1.002776
0.625	1.002747	0.435	1.002776
0.63	1.002747	0.44	1.002776
0.635	1.002747	0.44	1.002776
0.64	1.002747	0.445	1.002776
0.645	1.002747	0.445	1.002776
0.65	1.002747	0.45	1.002776
0.655	1.002747	0.45	1.002776
0.66	1.002747	0.455	1.002776
0.665	1.002748	0.455	1.002776
0.67	1.002748	0.46	1.002776
0.675	1.002748	0.46	1.002776
0.68	1.002748	0.465	1.002776
0.685	1.002748	0.465	1.002776
0.69	1.002748	0.47	1.002776
0.695	1.002748	0.47	1.002776
0.7	1.002748	0.475	1.002777
0.705	1.002748	0.475	1.002777
0.71	1.002749	0.48	1.002777
0.715	1.002749	0.48	1.002777
0.72	1.002749	0.485	1.002777
0.725	1.002749	0.485	1.002777
0.73	1.002749	0.49	1.002777
0.735	1.002749	0.49	1.002777
0.74	1.002749	0.495	1.002777
0.745	1.002749	0.495	1.002777
0.75	1.00275	0.5	1.002777
0.755	1.00275	0.5	1.002777
0.76	1.00275	0.505	1.002777
0.765	1.00275	0.505	1.002777
0.77	1.00275	0.51	1.002777
0.775	1.00275	0.51	1.002777
0.78	1.00275	0.515	1.002777
0.785	1.00275	0.515	1.002777
0.79	1.002751	0.52	1.002777
0.795	1.002751	0.52	1.002777
0.8	1.002751	0.525	1.002777
0.805	1.002751	0.525	1.002777
0.805	1.002751	0.53	1.002777
0.81	1.002751	0.53	1.002777
0.81	1.002751	0.535	1.002777
0.815	1.002751	0.535	1.002777
0.815	1.002751	0.54	1.002777
0.82	1.002751	0.54	1.002777
0.82	1.002751	0.545	1.002777
0.825	1.002752	0.545	1.002777
0.825	1.002752	0.55	1.002778
0.83	1.002752	0.55	1.002778
0.83	1.002752	0.555	1.002778
0.835	1.002752	0.555	1.002778
0.835	1.002752	0.56	1.002778
0.84	1.002752	0.56	1.002778
0.84	1.002752	0.565	1.002778
0.845	1.002752	0.565	1.002778
0.845	1.002752	0.57	1.002778
0.85	1.002752	0.57	1.002778
0.85	1.002752	0.575	1.002778
0.855	1.002752	0.575	1.002778
0.855	1.002752	0.58	1.002778
0.86	1.002753	0.58	1.002778
0.86	1.002753	0.585	1.002778
0.865	1.002753	0.585	1.002778
0.865	1.002753	0.59	1.002778
0.87	1.002753	0.59	1.002778
0.87	1.002753	0.595	1.002778
0.875	1.002753	0.595	1.002778
0.875	1.002753	0.6	1.002778
0.88	1.002753	0.6	1.002778
0.88	1.002753	0.605	1.002778
0.885	1.002753	0.605	1.002778
0.885	1.002753	0.61	1.002779
0.89	1.002754	0.61	1.002779
0.89	1.002754	0.615	1.002779
0.895	1.002754	0.615	1.002779
0.895	1.002754	0.62	1.002779
0.9	1.002754	0.62	1.002779
0.9	1.002754	0.625	1.002779
0.905	1.002754	0.625	1.002779
0.905	1.002754	0.63	1.002779
0.91	1.002754	0.63	1.002779
0.91	1.002754	0.635	1.002779
0.915	1.002754	0.635	1.002779
0.915	1.002754	0.64	1.002779
0.92	1.002754	0.64	1.002779
0.92	1.002754	0.645	1.002779
